canal,suscribers,hours
AMERICA TELEVISION HD 2021-11-26 20:30:00,73045.0,66063.76666666666
AMERICA TELEVISION HD 2021-11-27 20:30:00,48583.0,46030.566666666666
AMERICA TELEVISION HD 2021-11-28 20:30:00,57693.0,36667.85
AMERICA TELEVISION HD 2021-11-29 20:30:00,79475.0,68286.31666666667
AMERICA TELEVISION HD 2021-11-30 20:30:00,76528.0,67576.15
AMERICA TELEVISION HD 2021-12-01 20:30:00,76053.0,68300.95
AMERICA TELEVISION HD 2021-12-02 20:30:00,75636.0,67803.2
ATV HD 2021-11-26 20:45:00,16078.0,12993.383333333333
ATV HD 2021-11-27 20:45:00,24694.0,20438.116666666665
ATV HD 2021-11-28 20:45:00,13483.0,10539.116666666667
ATV HD 2021-11-29 20:45:00,20290.0,15621.216666666667
ATV HD 2021-11-30 20:45:00,18079.0,14783.233333333334
ATV HD 2021-12-01 20:45:00,17608.0,14490.0
ATV HD 2021-12-02 20:45:00,17295.0,14126.95
ATV HD 2021-11-26 21:45:00,28027.0,21626.966666666667
ATV HD 2021-11-27 21:45:00,19604.0,9186.933333333332
ATV HD 2021-11-28 21:45:00,21139.0,16732.466666666667
ATV HD 2021-11-29 21:45:00,33871.0,27320.966666666667
ATV HD 2021-11-30 21:45:00,32280.0,26818.466666666667
ATV HD 2021-12-01 21:45:00,31292.0,25961.3
ATV HD 2021-12-02 21:45:00,31067.0,26189.883333333335
M DEPORTES HD 2021-11-26 22:00:00,5003.0,2483.9666666666667
M DEPORTES HD 2021-11-27 22:00:00,3285.0,528.8666666666667
M DEPORTES HD 2021-11-28 22:00:00,4335.0,1275.8833333333334
M DEPORTES HD 2021-11-29 22:00:00,6835.0,4295.883333333333
M DEPORTES HD 2021-11-30 22:00:00,5458.0,3103.866666666667
M DEPORTES HD 2021-12-01 22:00:00,5229.0,1985.05
M DEPORTES HD 2021-12-02 22:00:00,4956.0,2945.5666666666666
AMERICA TELEVISION HD 2021-11-27 11:00:00,10015.0,4039.75
AMERICA TELEVISION HD 2021-11-27 19:00:00,64664.0,67800.5
ATV HD 2021-11-27 20:00:00,39399.0,37075.566666666666
AMERICA TELEVISION HD 2021-11-27 21:00:00,41868.0,38734.78333333333
LATINA HD 2021-11-27 20:30:00,25530.0,19291.3
AMERICA TELEVISION HD 2021-11-28 17:30:00,23529.0,17195.483333333334
M DEPORTES HD 2021-11-28 20:30:00,8128.0,1901.5666666666666
ATV HD 2021-11-28 20:30:00,28608.0,25665.466666666667
M PLUS HD 2021-11-28 21:00:00,5604.0,225.21666666666667
M DEPORTES HD 2021-11-28 22:00:00,5895.0,1580.9166666666667
