canalx,canal,date,,hora_ini,hora_fin,fecha_init,fecha_fin
,M DEPORTES HD,2021-11-29, ,22:00:00,23:00:00,2021-11-29 22:00:00,2021-11-29 23:00:00
,M DEPORTES HD,2021-11-30, ,22:00:00,23:00:00,2021-11-30 22:00:00,2021-11-30 23:00:00
,M DEPORTES HD,2021-12-01, ,22:00:00,23:00:00,2021-12-01 22:00:00,2021-12-01 23:00:00
,M DEPORTES HD,2021-12-02, ,22:00:00,23:00:00,2021-12-02 22:00:00,2021-12-02 23:00:00
América Cinescape 11 am,AMERICA TELEVISION HD,2021-11-27, ,11:00:00,13:00:00,2021-11-27 11:00:00,2021-11-27 13:00:00
América El reventonazo de la Chola 7 pm,AMERICA TELEVISION HD,2021-11-27, ,19:00:00,23:00:00,2021-11-27 19:00:00,2021-11-27 23:00:00
ATV JB en ATV 8:00 p.m.,ATV HD,2021-11-27, ,20:00:00,22:00:00,2021-11-27 20:00:00,2021-11-27 22:00:00
América Reinas del Show 9:00 p.m.,AMERICA TELEVISION HD,2021-11-27, ,21:00:00,23:00:00,2021-11-27 21:00:00,2021-11-27 23:00:00
Latina HD La Voz Senior 8:30pm,LATINA HD,2021-11-27, ,20:30:00,22:30:00,2021-11-27 20:30:00,2021-11-27 22:30:00
América TV Mi mamá cocina mejor que la tuya5:30 p.m.,AMERICA TELEVISION HD,2021-11-28, ,17:30:00,19:30:00,2021-11-28 17:30:00,2021-11-28 19:30:00
Mdeportes El fuera de Lista 8:30 p.m.,M DEPORTES HD,2021-11-28, ,20:30:00,22:30:00,2021-11-28 20:30:00,2021-11-28 22:30:00
ATV Nunca Más 8:30 p.m.,ATV HD,2021-11-28, ,20:30:00,22:30:00,2021-11-28 20:30:00,2021-11-28 22:30:00
Mplus Jamás Perfectas 9:00 p.m.,M PLUS HD,2021-11-28, ,21:00:00,23:00:00,2021-11-28 21:00:00,2021-11-28 23:00:00
Mdeportes Después de Todo 10:00 p.m.,M DEPORTES HD,2021-11-28, ,22:00:00,23:59:59,2021-11-28 22:00:00,2021-11-28 23:59:59
